Author	FirstName	Type	Title	Country	Abstract	Code	LastName	Symposium	Category	WordCount	NameFreq	Gender	Category2	Student	StudentStatus
Cristian Cañestro	Cristian	poster D23SY34PS1412	Functional impact of gene loss in genome evolution and animal diversity: the chordate Oikopleura dioica as a case study	Spain	What is the impact of gene losses in the generation of biodiversity is a crucial question in Evolutionary Biology that still remains largely unknown. Until now, gene losses have been often neglected because the proof for gene loss is negative and difficult to detect, especially in complex genomes outside bacteria and yeast. The state-of-the-art sequencing technology offers us for the first time the exciting opportunity to perform exhaustive genome-wide analyses to detect unambiguous cases of gene losses in animals with complex genomes. Our group has started an ambitious project with two main aims. First, we will sequence full genomes of a several individuals from many populations and species of the larvacean class to gain novel insights into the dynamics of gene losses, to understand the correlation of gene loss with phenotypic traits, and to test for evolutionary gene dispensability (EGD), a new concept that we have developed in this project. Second, we will perform systematic knockdown experiments and RNA–seq analyses to provide functional evidence for the impact of gene loss, and test for adaptive and neutral events of gene loss in the context of genetic robustness and gene network connectivity. In this project, we use the urochordate Oikopleura dioica (and other related larvacean species) as case study, because the recent genome-sequencing project, in which we participated, revealed that this organism exhibits the smallest genome and the largest genomic plasticity of all metazoans known to date, including an extraordinary amount of gene losses. Preliminary results show the feasibility to identify actual genes that are in the process of being lost in different populations, which appear as potential candidates of losses that can be adaptive. 	D23SY34PS1412	Cañestro	SY34	PS	278	1	Male	Poster		Staff
Cristina Ariani	Cristina	poster D21SY10PS1137	Meiotic drive in the yellow fever mosquito Aedes aegypti	United Kingdom	Selfish genetic elements enhance their own transmission to the organism’s progeny in a disproportionate fashion. Sex chromosome meiotic drive normally involves X chromosomes and results in female biased sex ratios, but in the yellow mosquito Aedes aegypti a meiotic drive gene is tightly linked to the male chromosome and distorts the sex ratio towards males. This distortion can only be seen when males bearing the meiotic drive gene (D) are crossed to females from other populations. That is because a dominant insensitive gene (I) has evolved in females of the populations where D is present, preventing the sex ratio distortion while females from other geographical regions are commonly sensitive (s) to D. We crossed females of a line that is highly sensitive to meiotic drive to a line carrying the drive gene. Using restriction-site associated DNA (RAD) tags followed by deep sequencing, we were able to both map the meiotic drive gene and genes elsewhere in the genome which suppress meiotic drive. We then backcrossed the meiotic drive gene into a genetic background without any suppressors and repeated the experiment. This allowed us to map the meiotic drive gene with greater precision. 	D21SY10PS1137	Ariani	SY10	PS	193	3	Female	Poster	Student at University of Cambridge	Student
Cristina Ledon-Rettig	Cristina	talk D24SY31IT10:30R2	Altered developmental programs underlying the novel gut morphology of a cannibalistic anuran larva	United States	The gut is a particularly fascinating organ from an ecological and evolutionary perspective; it dictates how well an organism digests and assimilates nutrients from its diet, and thus has a profound impact on fitness. Organisms vary widely in what they consume, and this dietary diversity is reflected by equally diverse variation in gut morphologies. For instance, anuran Xenopus laevis larvae maintain an elongate gut that is adaptive for their herbivorous diet (an ancestral condition). In contrast, larvae of Lepidobatrachus laevis are obligate carnivores (a derived condition) and possess a relatively short gut that is appropriate for their diet. Remarkably, little is known about how developmental programs have diverged to give rise to such variation in gut morphology. To reveal the developmental mechanisms underlying the evolution of the novel, short-gut morphology, we compared key features of gut morphogenesis between Xenopus and Lepidobatrachus. In Xenopus, all endodermal cells of the primitive gut tube become polarized, undergo radial intercalation and contribute to gut elongation as they become incorporated into the gut epithelium. In contrast, in Lepidobatrachus, many central endodermal cells do not undergo radial intercalation and therefore cannot contribute to elongation. Additionally, many cells in the developing epithelium of Lepidobatrachus undergo programmed cell death and are extruded, further limiting the endodermal contribution to elongation. This programmed cell death – which typically occurs during thyroid hormone-dependent metamorphosis in Xenopus – is correlated with the expression of thyroid hormone signaling components in Lepidobatrachus, suggesting that precocious thyroid hormone signaling in the developing intestine is, in part, responsible for their novel gut topology. 	D24SY31IT10:30R2	Ledon-Rettig	SY31	IT	259	3	Female	Talk: Invited		Staff
Cristina Vieira	Cristina	talk D24SY03RT11:42R8	The paradigma of irreversibility in gametophytic self-incompatibility: the Malus and Prunus systems	Portugal	In the present hypothesis, S-RNase-based gametophytic self-incompatibility (GSI) evolved once before the split of the Asteridae and Rosidae, but the Rosaceae Malus and Prunus GSI systems are different: in Prunus the S-RNase gene presents two introns and the S-pollen is a single F-box gene (called SFB). The two genes show evidence for a partially coevolved history, both presenting high levels of synonymous and non-synonymous divergence, as well as positively selected amino acid sites that account for the specificities present in natural populations. In Malus, the S-RNase gene has one intron, and multiple S-pollen F-box genes (called SFBBs) have been described. Levels of diversity at the S-RNase gene are 10 times higher than at the SFBB genes. Nevertheless, intra-haplotypic diversity of SFBB is similar to the S-RNase gene. Moreover, there is evidence for amino acids under positive selection only when intra-haplotype SFBB genes are analyzed. Thus, it is not surprising that different self-recognition mechanisms have been proposed: in Prunus self S-RNases are protected from degradation by the self-SFB protein, while in Malus each SFBB protein is predicted to interact with a subset of non-self S-RNases that mediates their degradation. Here, we perform a detailed characterization of S-RNase and F-box like genes present in the P. persica and M. domestica genomes. Phylogenetic analyses revealed three duplications that predate Malus and Pyrus speciation. The gene lineage determining GSI function are different in Malus and Prunus. Expression analyses in 12 Malus tissues revealed that two of the S-RNase lineage genes are expressed mostly in pistils, but one has acquired seed expression. In Malus the closest SFB-like gene shows the highest expression in stamen but is also expressed in seeds. An hypothesis for the evolution of Malus and Prunus GSI is presented. Implications of the polyphyletic S-RNase GSI evolution on uncharacterized GSI systems are discussed. 	D24SY03RT11:42R8	Vieira	SY03	RT	324	3	Female	Talk		Staff
Crystal Vincent	Crystal	poster D21SY09PS0672	Sex-specific genetic variance for resistance and tolerance to infection	Canada	Understanding why individuals express a given level of immune competence is necessary for predicting the incidence, spread, and evolution of disease. It is often observed that males have weaker immune systems than females and thus get sick more often. Sex-biases in susceptibility, both before and during infection, can affect pathogen prevalence and host-parasite coevolution. One potential cause of sexual dimorphism in immunity could be differential effects of infection on fitness between the sexes, i.e. females may be selected to invest more in immunity because the fitness costs of infection are greater. When individuals differ in their ability to maintain fitness during infection they are said to express different levels of tolerance. Most eco-immunology studies assess resistance, which involves those responses that prevent, restrict, or clear infection by parasites, rather than tolerance mechanisms. Distinguishing between resistance and tolerance is important as they predict markedly different evolutionary and epidemiological outcomes. Tolerance has long been acknowledged as a mechanism of managing stressors in the plant literature, but few studies have investigated tolerance in animals. To date, no comparison of tolerance in male and female animals has been undertaken. Using males and females from several Drosophila melanogaster genotypes, we assessed resistance and tolerance to the common bacterial pathogen Pseudomonas aeruginosa. Across all lines, resistance and tolerance was significantly lower in females. There was a significant negative correlation between male and female tolerance. In addition, we observed a genetic trade-off between resistance and tolerance. Our results suggest that antagonistic pleiotropy can maintain genetic variation in immunity. Implications for the genetics of immune function and sex-specific immunocompetence will be discussed. 	D21SY09PS0672	Vincent	SY09	PS	270	1	Female	Poster		Staff
Cyril Dutech	Cyril	poster D20SY15PS0324	Phenotypic changes in oak seedlings infected by powdery mildew: host tolerance response or host manipulation by the parasite?	France	Plant parasites negatively affect their host fitness by deriving their nutrition from their host. Infection also often affects the physiology of the host leading to changes in morphology, timing of development or fecundity. Plant pathologists have paid much less attention to these life-history changes which could be seen either as tolerance response of the host or as manipulation by the parasite to enhance its transmission, than to resistance mechanisms preventing infection, thus yield loss. We studied the phenotypic changes induced by the oak powdery mildew on its host, Quercus robur in order to assess the effect of infection on host growth pattern. Fifteen half-sib families of oak (2595 individuals) were exposed to three different levels of powdery mildew: low (with fungicides), medium (natural infection) and high (natural infection supplemented by inoculations). Fine monitoring of host growth, phenology and leaf infection were performed over three years. As expected, increasing infection resulted in increasing growth losses in seedlings. More surprisingly, it also had a dramatic effect on seedling phenotypes by causing an accelerated shoot flushing both between and within years. This increased polycyclism provided benefits for both host and parasite: partial compensation of growth losses and extension of the availability of receptive tissues along the season, respectively. Nevertheless, increasing the number of flushes in a season may expose seedlings to higher damage by winter frost. Altogether, these observations are suggestive of both host tolerance and parasite manipulation responses in the “complex phenotype” resulting from the interplay of host and parasite genes. 	D20SY15PS0324	Dutech	SY15	PS	251	1	Male	Poster		Staff
Dalial Freitak	Dalial	poster D23SY20PS0473	Inbreeding dependent trade-offs in the ant Formica exsecta	Finland	Trade-offs between different defence mechanisms and life-history traits are known to exist. Especially interesting are the ones involving immune defences, as surviving infections is paramount for any organism. The capability to respond to stressors depends on the phenotypic plasticity of an organism. It is assumed that inbreeding decreases the adaptability of organisms to environmental stresses (e.g. dealing with pathogens, oxidative stress). Recent evidence from many insects highlights the importance of Reactive Oxygen Species (ROS) in insect immunity by regulating potential pathogens and keeping commensal gut flora under control. Although the release of these free radicals is an extremely effective defence against intruders, it is also harmful to the organism itself, as it causes oxidative stress. This is a situation where cellular production of ROS overwhelms its antioxidant capacity, leading to damage of various macromolecules (e.g. lipids, proteins, DNA). Dealing with this self-inflicted injury is essential, but requires extra resources for anti-oxidant production. In a multi-infection scenario, the capability of an organism to deal with multiple stressors may give a crucial advantage in comparison to less adaptive phenotypes. Here, we study how ants with different inbreeding levels cope with bacterial and fungal parasites, being previously exposed to oxidative stress via feeding with ROS. Dietary intake of extra ROS may lead to better survival against gut penetrating entomopathogenic bacteria, but may at the same time leave fewer resources to fight against fungal pathogens. We use oral infection with the pathogenic bacterium Serratia marcescens, and the exposure to the generalist fungal pathogen Metarhizium brunneum to study the trade-offs between ROS responses and the immune response in workers of F. exsecta. Comparing inbred colonies and outbred colonies reveals differences in the expression of various antioxidant and immunity related responses. 	D23SY20PS0473	Freitak	SY20	PS	293	NA	NA	Poster		Staff
Damian Smith	Damian	poster D23SY31PS0482	Small RNA regulation of post mating response to sex peptide in female Drosophila melanogaster	United Kingdom	Male Drosophila melanogaster fruitflies transfer seminal fluid proteins (sfps) to females during mating. One sfp, sex peptide, is responsible for several post mating responses in females, such as increased egg laying and reduced remating rate. Yet little is known about the female responses to these substances at the genomic level. Small RNAs are short (20-22nt) regulatory non-coding RNAs, which bind to messenger RNAs and prevent their translation to proteins. By the use of ‘high definition’ adapters, we reduced the bias in small RNA sequencing data detection and measurement of small RNAs. We investigated here the differences in expression of small RNAs and messenger RNA in female D. melanogaster mated to males that do and don’t transfer sex peptide during mating. We assayed different tissue types at four consecutive, equally distributed time points after mating. The results show how gene regulation following receipt of sex peptide is influenced by small RNAs. We discuss the results in the context of sexual conflict and post mating responses in females. 	D23SY31PS0482	Smith	SY31	PS	168	1	Male	Poster		Staff
Damiano Porcelli	Damiano	poster D20SY32PS0819	Local adaptation to climate change: a semi-natural study of the Drosophila subobscura model system	United Kingdom	Anthropogenic activities are accelerating the rate at which our environment is changing. Such rapid change threatens biodiversity as organisms struggle to cope with stressful environments, for example, increased temperature. To understand how species may adapt to human-driven climate change, we are studying the adaptive genetic responses to natural temperature changes in wild populations of the fruit fly, Drosophila subobscura. This species has a rich history in associating environmental gradients with clinal chromosomal inversion polymorphisms and clinal variations in morphological and physiological traits. To examine genes involved in local thermal adaptation, we used established outdoor enclosures of flies along a temperature (latitudinal) gradient at six European sites (from Sweden to Spain), spanning over 20 degrees of latitude. Flies were sampled under three natural thermal profiles relevant to each locations to investigate differentially expressed genes and changes in expressed allele frequencies between populations by using RNA-seq. The two extreme populations were reciprocally transplanted to distinguish plastic genetic responses from locally adaptive ones. Here we report our preliminary results on the identification of genetic loci potentially involved in the process of local climate adaptation. Such loci may represent genomic hotspots, including within chromosomal inversions, of selection in response to climate change. 	D20SY32PS0819	Porcelli	SY32	PS	200	1	Male	Poster		Staff
Daniel Engelmoer	Daniel	poster D23SY04PS1238	Intense competition between arbuscular mycorrhizal mutualists in an in vitro root microbiome negatively affects total fungal abundance	Netherlands	The root microbiome is composed of an incredibly diverse microbial community that provides services to the plant, including nutrient provision, increased stress resistance and pathogen exclusion. A major question in rhizosphere research is how species in root microbiome communities interact with each other, and their host. In the nutrient mutualism between host plants and arbuscular mycorhizal fungi (AMF), hosts exchange carbohydrates for mineral nutrients from the fungal partner. While there is high variation in the benefits AMF species provide to their host plants, we still know very little about how this variation drives fungal community composition and competition within the root microbiome. Here we use an artificial root system (in vitro root organ cultures) to investigate competitive interactions between a previously characterized ‘high’ and ‘low’ quality AMF species, under standard and high phosphorus availability. We show that negative competitive interactions between AMF species reduces overall fungal abundance by nearly 5-fold in the host root, and that negative interactions are less strong in the extraradical mycelial network. We find that the high-quality species, Rhizophagus irregularis, consistently outcompete the lower quality species, Glomus aggregatum, both inside and outside the host root. However G. aggregatum is not completely eradicated and still is able to reduce the abundance of R. irregularis. Phosphorus availability did not change the outcome of these interactions. We suggest that in vitro root systems offer a novel platform to study ecological dynamics in the root microbiome under precisely controlled conditions. 	D23SY04PS1238	Engelmoer	SY04	PS	242	5	Male	Poster		Staff
Daniel Goldhill	Daniel	talk D23SY01RT14:48R2	Genetic robustness and environmental robustness in an RNA virus	United States	Robustness, the ability of phenotypes to withstand perturbation, is often categorized into environmental robustness, resistance to environmental change, and genetic robustness, resistance to mutation. Determining how robustness interacts with the fitness landscape is vital to increasing our understanding of how organisms successfully adapt to changing environments. Studies in proteins and RNA molecules have shown that areas of the fitness landscape with high environmental robustness have high genetic robustness, a property that has been termed plastogenetic congruence. However, it is unknown how environmental and genetic robustness relate at higher levels of biological organization such as organisms. We have experimentally evolved an RNA virus, ?6, to have higher resistance to heat shock, a form of environmental robustness. We have tested the virus for genetic robustness using a mutagen and shown that the evolved virus maintained higher fitness and therefore had higher genetic robustness. Previous work with this virus has shown that increased genetic robustness does not necessarily lead to increased environmental robustness. Our investigations of the mutations leading to increased robustness allow us to suggest a mechanism linking environmental and genetic robustness in an RNA virus. The study of robustness at the level of a virus provides insight into the nature of the fitness landscape and may help predict evolutionary trajectories. 	D23SY01RT14:48R2	Goldhill	SY01	RT	209	5	Male	Talk	Student at Yale University	Student
Daniel Rozen	Daniel	talk D20SY22RT15:45R6	Antibiotic resistance among the killers	Netherlands	The discovery and development of antibiotics as part of the medical arsenal is one of the great triumphs in the effort to eradicate bacterial diseases. For more than 70 years these microbial products have worked with remarkable success, transforming the medical landscape and dramatically improving human health. However, despite their tremendous relevance for humans, there is a surprising lack of understanding of the role of antibiotics in nature for the organisms that produce them. Why are antibiotics produced and why do strains in nature evolve to resist them. Here we test the idea that antibiotic-mediated interference competition between coexisting bacterial species in soil drives reciprocal coevolutionary changes as strains evolve novel mechanisms of killing and resistance. Focusing on the prolific antibiotic producing genus, Streptomyces, and their coexisting competitors, we first characterize interaction networks between coexisting Streptomycetes and then ask whether antibiotic resistance shows evidence of local adaptation. Second, we are investigating the costs and in situ fitness of naturally resistant strains of Streptomyces in soil at different antibiotic concentrations and during co-cultivation with Streptomycetes that are natural antibiotic producers. Our work examines the natural context and population dynamics of resistance evolution, thereby providing insight into processes occurring in the clinical environment. 	D20SY22RT15:45R6	Rozen	SY22	RT	203	5	Male	Talk		Staff
Daniel Tamarit	Daniel	poster D23SY04PS0597	Comparative genomics of insect endosymbionts extracted from single hosts	Sweden	Insect endosymbionts represent the paradigm of bacterial adaptation to a host-dependent life and their study contributes to our understanding on microbial ecology and genome evolution. Their informative nature is nonetheless counterpoised to their inaccessibility. Here we demonstrate that single-host endosymbiotic communities can be studied from next-generation sequencing data after purification and whole-genome amplification of endosymbionts. We focus on the comparative genomic study of two samples belonging to pure Hamiltonella defensa sequences extracted from two individual aphids from the tribe Macrosiphini. The assembly of their genomes show that they are 1.8 and 2.0 Mb-long, respectively, and their gene content is shown to be similar to that of other H. defensa genomes. We used this new data to fully resolve the phylogenetic relationships between the known H. defensa and related enterobacteria, and to reconstruct the history of gene gains and losses in their evolutionary lineage. Finally, we performed an in-depth analysis of the genome content and evolution of the APSE bacteriophage, inserted in the H. defensa genomes, which has a remarkable ecological importance in protecting the aphid host against parasitoid wasp infections. 	D23SY04PS0597	Tamarit	SY04	PS	188	5	Male	Poster	Student at Uppsala University	Student
Daniel Weissman	Daniel	poster D21SY13PS1037	A little sex goes a long way: clonal interference due to spatial structure can be alleviated by low rates of recombination	Austria	The spatial ranges over which populations occur are often much larger than the scales over which individuals migration and interact in a generation, and the resulting spatial structure can have large effects on adapting populations. In particular, the time for a beneficial allele to sweep through the population can be greatly increased if it must spread as a traveling wave over the whole range. It has recently been shown that the resulting increase in clonal interference limits the speed at which spatially-structured asexual populations can adapt, and that this limiting speed is much lower than that of well-mixed populations of the same size. We show that this is not the case for sexual populations: while the rate of adaptation is limited by interference, the limit on the adaptation of spatially-structured populations is not much lower than that on the adaptation of well-mixed ones. Even very low rates of recombination are sufficient to allow spatially-structured populations to adapt at speeds similar to well-mixed ones, suggesting that even organisms that are primarily asexual may be able to adapt fairly rapidly. 	D21SY13PS1037	Weissman	SY13	PS	184	5	Male	Poster		Staff
Daniela Brites	Daniela	poster D21SY09PS0333	The evolution of CRISPR-Cas in Mycobacterium tuberculosis	Switzerland	The genomic regions encoding CRISPR-Cas (clustered regularly interspaced short palindromic repeats – CRISPR associated proteins) are involved in generating adaptive immunity against invading genetic elements in many bacterial species. In Mycobacterium tuberculosis, the causative agent of human tuberculosis, the CRISPR-Cas region has a relatively high level of polymorphism in the number of repeats and spacer sequences. Yet, a relation between the CRISPR-Cas region in M. tuberculosis and immunity to foreign genetic elements has not been demonstrated. A search for an homologue region in other related mycobacteria revealed that the CRISPR-Cas region is only present in M. tuberculosis and in M. canettii. This suggests that the CRISPR-Cas region was acquired via horizontal gene transfer in the common ancestor of both species. In order to get some insight into the genetic variation of the CRISPR associated Cas proteins in M. tuberculosis, we analyzed deletions and SNPs in the Cas genes of 249 strains collected worldwide. The results indicate that Cas gene deletions are common in strains belonging to the East-Asian M. tuberculosis lineage, less common in other so-called modern lineages but completely absent from basal lineages. Contrastingly, substitution rates in Cas genes are similar among different phylogenetic lineages and mostly indicate strong purifying selection, except in Cas6 and Cas10. The CRISPR-Cas region in M. tuberculosis seems thus to be under selection to be preserved for unknown reasons. However, it is eroding in certain modern lineages indicating that its original function is either not preserved or is being compensated by other CRISP-Cas genes which were not uncovered in our analysis. 	D21SY09PS0333	Brites	SY09	PS	266	1	Female	Poster		Staff
Daniella Bartholomeu	Daniella	poster D21SY09PS1402	Toll-like receptor 9 and host defense to the infection caused by the human parasite Trypanosoma cruzi	Brazil	Toll-like receptor 9 (TLR9) was initially identified as the mammalian component of innate immune system responsible for the recognition of unmethylated CpG motifs of bacterial DNA. We and others have demonstrated the role of TLR9 in infections caused by the human parasite Trypanosoma cruzi. We have shown that this receptor is essential for parasite recognition and host resistance to experimental infections. We have identified CpG motifs in the genome of T. cruzi CL Brener, a hybrid strain. These sequences are not randomly distributed in the genome but instead are enriched clusters containing T. cruzi specific genes. These regions are highly polymorphic in the two haplotypes of the CL Brener strain, which led us to speculate that the abundance of these CpG motifs may vary in the genome of the distinct T.cruzi strains, thus contributing to a differential TLR9 activation. In this work, we studied the role of TLR9 in infections caused by distinct T. cruzi lineages. Experimental infections of wild type and TLR9-/- mice with Colombiana, Y and CL Brener strains revealed a lower importance of TLR9 in controlling parasitemia and mortality in infections with Colombiana, when compared with infections with CL Brener and Y strains. Immunostimulatory assays using live parasites revealed a lower ratio of the TNF-a production by dendritic cells from C57BL/6 and TLR9-/-mice for Colombiana compared with those values for the other strains. These results correlated with the quantification of the regions enriched in CpG motifs in the genome of these strains. Our results suggest that Colombiana infection promotes a lower activation of the TLR9 receptor, leading to insufficient production of proinflammatory cytokines necessary for parasite clearance. We speculate that the content of CpG motifs in the genome of different T. cruzi strains may be an important factor affecting virulence, pathogenesis and favoring parasite adaptation to the vertebrate host. 	D21SY09PS1402	Bartholomeu	SY09	PS	308	1	Female	Poster		Staff
Dario Moser	Dario	poster D23SY31PS1438	Repeated lake-stream divergence in Stickleback life history within a Central European lake basin	Switzerland	Life history divergence between populations inhabiting ecologically distinct habitats might be a potent source of reproductive isolation, but has received little attention in the context of speciation. We test for life history divergence between threespine stickleback inhabiting Lake Constance (Central Europe) and multiple tributary streams. Otolith analysis show that lake fish generally reproduce at two years of age, while their conspecifics in all streams have shifted to a primarily annual life cycle. This divergence is paralleled by a striking and consistent reduction in body size and fecundity in stream fish relative to lake fish. Stomach content analysis suggests that life history divergence might reflect a genetic or plastic response to pelagic versus benthic foraging modes in the lake and the streams. Microsatellite and mitochondrial markers further reveal that life history shifts in the different streams have occurred independently following the colonization by Lake Constance stickleback, and indicate the presence of strong barriers to gene flow across at least some of the lake-stream habitat transitions. Given that body size is known to strongly influence stickleback mating behavior, these barriers might well be related to life history divergence. Current work is using high-resolution genome-wide marker data to explore genomic signatures of selection across the habitat transitions. 	D23SY31PS1438	Moser	SY31	PS	207	1	Male	Poster	Student at University of Basel	Student
Darja Dubravcic	Darja	poster D20SY33PS1114	Not everybody is social in social amoebae: Dictyostelium discoideum population partitioning into aggregating vs non-aggregating cells and its evolutionary significance in fluctuating environments	France	The social amoeba Dictyostelium discoideum is widely known for its cooperative behavior. Upon starvation, millions of cells aggregate and form a fruiting body that allows better dispersion of dormant spores. But not all cells aggregate and take part in this social act. A part of the population ignores the aggregation signal and continues behaving as single cells, that can take advantage of incoming nutrients while the others are embedded in multicellular development. We have developed a new cell-tracking technique based on time-lapse fluorescence microscopy and image processing. This enabled us to quantify population partitioning into social/aggregating and unsocial/non-aggregating cells. We are currently investigating the effects of cell nutritional state, genetic background and environment structure on population partitioning. In addition, we propose a model to illustrate potential evolutionary benefits of population partitioning in fluctuating environments. 	D20SY33PS1114	Dubravcic	SY33	PS	137	1	Female	Poster	Student at Laboratory of Interdisciplinary Physics	Student
Darren Obbard	Darren	talk D21SY09RT11:42R4	Discovery, distribution and evolutionary genomics of viruses naturally infecting Drosophila melanogaster	United Kingdom	Drosophila melanogaster is an important model for innate immunity, and is arguably our primary model for antiviral resistance in arthropods. Several groups have used population-genetic and phylogenetic approaches to show that some antiviral immune genes in Drosophila (notably the antiviral RNAi pathway) display highly elevated rates of adaptive evolution. However, although this is consistent with a host-virus arms race, the evolutionary genetics of Drosophila viruses are almost unstudied - only a handful of viruses which naturally infect Drosophila melanogaster are known, and only Drosophila Sigma Virus (a Rhabdovirus) has been regularly isolated from wild populations.  In an attempt to understand the evolutionary genetics of Drosophila viruses, we have sequenced both RNAseq, and small-RNA, libraries from large pooled samples of wild-caught D. melanogaster. This has allowed us to identify several new viruses, including several RNA viruses (viruses with sequence similarity to Sacbrood Virus, Slow Bee Paralysis Virus, Chronic Bee paralysis virus, Acyrthosiphon Pisum Virus, Flaviviruses, and Cypoviruses) and a DNA virus (Nudivirus).  Following a geographic survey of D. melanogaster, we find that the previously known viruses of D. melanogaster (including DAV, Sigma and Nora) are widespread at low to intermediate prevalence. None of the viruses shows high rates of adaptive evolution, and in general (despite substantial synonymous divergence) protein sequences are very highly conserved. However, while this may indicate that these viruses are not engaged in ‘arms race'-like coevolution, we suspect that the short timescale of viral co-ancestry (tens to hundreds, rather than thousands, of years) makes this process extremely difficult to detect. This is in sharp contrast to viral evolution in response to vertebrate adaptive immunity, which adapts plastically on the same timescale as viral evolution. 	D21SY09RT11:42R4	Obbard	SY09	RT	281	2	Male	Talk		Staff
Darren Parker	Darren	talk D20SY32RT14:48R2	Do closely related species use the same genes to adapt to fluctuating environmental conditions?	United Kingdom	For insects, seasonal fluctuating temperature conditions require the ability to acclimate to lower than optimal temperatures in order to remain active. Cold tolerance in insects has been shown to have a genetic basis in numerous groups; however it is not clear if the underlying genetic basis producing this phenotype is the same across species. We used the SOLiD platform to sequence the transcriptomes of two Drosophila species that diverged approximately 9 Myr ago, D. montana and D. virilis, from both cold acclimated and non-cold acclimated individuals. We established the genes which were differentially expressed between the treatments, allowing us to a) identify the genes and pathways involved in cold acclimation in each of the species and b) test whether they are conserved between the two species. Approximately 150 genes were differentially expressed between cold acclimated and non-cold acclimated treatments in D. virilis and D. montana. The biological processes associated with these genes were broadly similar in both species and included circadian clock regulation and metabolism. Despite being involved in broadly similar biological processes, few specific genes were found to be differentially expressed in both species. This suggests that the underlying genetic basis of cold acclimation in both species uses different genes, but similar pathways, to produce a similar phenotype. 	D20SY32RT14:48R2	Parker	SY32	RT	211	2	Male	Talk	Student at University of St. Andrews	Student
David Berger	David	poster D20SY32PS1436	Genetic conflict between the sexes and rates of adaptation to climate warming	Sweden	Intralocus sexual conflict (IASC) occurs when selection favors sex-specific optima in traits that have a shared genetic basis in males and females. This form of genetic conflict plays a key role in evolution and is likely to cause a gender load on population fitness. However, even though theory predicts that IASC may hamper adaptation under environmental change, we know very little about its potential role in affecting evolutionary rates under climate warming. We quantified the intersexual genetic correlation for fitness itself at a benign (29°C) and a stressful (36°C) temperature in the seed beetle Callosobruchus maculatus, by measuring offspring production of males and females from isofemale lines. In the studied population, there is a substantial gender load on fitness at the benign temperature, signified by a negative genetic correlation between male and female fitness. However, the correlation changed sign and became positive at stressful temperature conditions, suggesting that novel conditions may reduce genetic conflict between the sexes and increase rates of adaptation to climate warming. We estimate intersexual genetic correlations for, and sex-specific selection on, key traits likely to be involved in responses to climate warming (metabolic rate, lifespan, water loss, locomotor activity and body size). These data allow testing of two mechanisms that each predicts reduced conflict at stressful temperatures: 1) a release of cryptic genetic variation that has similar effects on fitness in both sexes and increases the opportunity for selection, and 2) a change and alignment of sex-specific selection differentials under stress. 	D20SY32PS1436	Berger	SY32	PS	248	9	Male	Poster		Staff
David Duneau	David	poster D21SY25PS1320	The role of host sex in parasite evolution	United States	The most extreme inter-individual differences within species are often those between sexes. In populations of sexual species, these intersexual differences often include strong dimorphism in parasite prevalence, disease symptoms and virulence. These effects of host sex have traditionally been attributed to sex-specific differences in host properties such as behavior, immune responses, hormone balances and resource allocation. However, these profound differences between males and females may act as alternative “environments” for infectious parasites and may result in parasite lineages that are differently adapted to each host sex. Here, I will present different conceptual scenarios in which host sex can affect parasite evolution, illustrated with my empirical studies of bacteria evolving naturally in Daphnia or experimentally in Drosophila. A better understanding of specific adaptation of parasites to the host sexes will help us to understand sexual dimorphism in disease responses. Moreover, it will allow us to investigate how parasitism could favor the evolution of sexual dimorphism by reducing the probability that parasites could evolve optimal fitness across both host sexes. 	D21SY25PS1320	Duneau	SY25	PS	170	9	Male	Poster		Staff
David Field	David	talk D21SY21RT11:42R2	Selection on flower colour genes in a snapdragron hybrid zone	Austria	A major goal of evolutionary biology is to understand how diverging populations become distinct species. Although much progress has been made in identifying genes that contribute towards population divergence and speciation, direct measurements of their effect on fitness in nature are often difficult to obtain. We are studying the evolutionary dynamics of speciation between two subspecies of Antirrhinum (snapdragons) with different flower colours (yellow and magenta). In this system, two major loci control flower colour and give rise to six colour phenotypes across a narrow hybrid zone. Surprisingly, these species are visited by the same array of pollinators (large bees). This raises the question of how these genes initially arose and spread and how populations are currently maintained in the face of gene flow. To better understand the role of flower colour genes in speciation we are using an integrated approach to examine the role of selection, epistasis, drift and gene flow over multiple time scales. To examine short and long-term evolutionary processes we are using SSR and SNP markers for individuals sampled across the hybrid zone as well as sequence variation with Restriction-Associated DNA sequencing (RAD) data from allopatric populations. The existence of a steep cline (~280m wide) for flower colour and diagnostic markers linked to the underlying genes, suggests selection is acting against some of the hybrid colour phenotypes. Significant heterozygote deficit at small spatial scales (<30m) and an excess of parental phenotypes also suggests assortative mating may play a role in maintaining the hybrid zone. Initial results from RAD tags indicate that the highest regions of divergence (Fst) between allopatric populations are located near the genes that control flower colour. Taken together, these results suggest that selection is acting on the flower colour genes, likely through pollinators discriminating among the flower colour phenotypes within the hybrid zone. 	D21SY21RT11:42R2	Field	SY21	RT	302	9	Male	Talk		Staff
